1	3
112	0
173	0
113	-1
152	0
197	0
45	2
79	-1
184	0
129	0
50	-2
82	3
107	2
141	1
170	0
51	-4
98	-2
108	-1
144	0
145	0
109	0
196	0
99	0
126	0
29	3
127	0
30	0
130	0
131	0
128	0
31	3
153	0
56	0
57	2
53	0
183	0
42	-1
160	0
63	0
156	0
39	0
83	1
180	0
185	0
88	0
85	0
182	0
140	0
43	-1
163	0
66	1
84	-3
181	0
80	0
174	0
28	0
125	0
81	0
78	0
175	0
165	0
198	0
27	-1
124	0
106	0
9	1
199	0
164	0
67	-1
162	0
65	0
62	0
159	0
161	0
64	0
52	0
38	0
8	0
7	-2
158	0
61	0
172	0
75	0
190	0
93	0
187	0
89	0
186	0
92	0
171	0
74	0
157	0
60	-2
21	-3
95	1
191	0
94	0
44	1
26	0
20	3
13	-4
87	0
123	0
122	0
86	0
73	-1
72	0
49	2
69	0
97	0
96	0
68	0
59	-1
149	0
148	0
71	0
101	0
100	0
91	0
195	0
194	0
90	0
70	0
58	-1
48	-1
23	-1
55	0
155	0
167	0
166	0
154	0
54	-1
22	-2
17	2
151	0
150	0
135	0
134	0
25	1
24	0
16	2
12	3
6	2
3	-5
189	0
193	0
192	0
188	0
143	-1
142	0
115	2
114	0
33	3
139	0
138	0
32	0
19	3
177	0
176	0
119	0
118	0
77	1
111	0
147	0
146	0
133	0
132	0
110	1
76	-2
41	-1
103	0
179	0
178	0
102	0
40	-1
37	2
36	0
18	5
5	-1
117	0
169	0
168	0
121	0
120	0
116	1
105	-2
104	0
11	3
35	0
34	0
15	0
137	0
136	0
47	0
46	0
14	1
10	-1
4	1
2	2
